HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,HomeFifaRank,HomeFifaPoints,HomeGoalsScoredLast4Y,HomeGoalsReceivedLast4Y,HomeWinsLast4Y,HomeLossesLast4Y,HomeDrawsLast4Y,HomeIsHost,HomeSquadMarketValueEur,HomeSquadAvgAge,HomeWorldCupTitlesBefore,AwayFifaRank,AwayFifaPoints,AwayGoalsScoredLast4Y,AwayGoalsReceivedLast4Y,AwayWinsLast4Y,AwayLossesLast4Y,AwayDrawsLast4Y,AwayIsHost,AwaySquadMarketValueEur,AwaySquadAvgAge,AwayWorldCupTitlesBefore,SameContinent,DiffFifaRank,DiffFifaPoints,DiffGoalsScoredLast4Y,DiffGoalsReceivedLast4Y,DiffWinsLast4Y,DiffLossesLast4Y,DiffDrawsLast4Y,DiffSquadMarketValueEur,DiffSquadAvgAge,DiffWorldCupTitlesBefore,DiffIsHost
France,Mexico,1930,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,France,1930,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Mexico,1930,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,France,1930,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Mexico,1930,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Chile,1930,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Brazil,1930,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Bolivia,1930,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Bolivia,1930,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Peru,1930,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Peru,1930,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Romania,1930,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Belgium,1930,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Paraguay,1930,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Belgium,1930,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,United States,1930,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Yugoslavia,1930,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Argentina,1930,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Brazil,1934,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Egypt,1934,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Netherlands,1934,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,United States,1934,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Romania,1934,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
