Team,Group,GroupRank,Points,GF,GA,GD,Qualified,QualificationRoute
South Korea,Group A,1,5,4,3,1,True,Top 1 in Group A
Czech Republic,Group A,2,3,3,3,0,True,Top 2 in Group A
Mexico,Group A,3,3,3,3,0,True,Best third-placed (#8)
Switzerland,Group B,1,9,6,3,3,True,Top 1 in Group B
Bosnia and Herzegovina,Group B,2,4,4,4,0,True,Top 2 in Group B
Canada,Group B,3,4,4,4,0,True,Best third-placed (#4)
Brazil,Group C,1,9,6,3,3,True,Top 1 in Group C
Morocco,Group C,2,6,5,4,1,True,Top 2 in Group C
United States,Group D,1,7,5,3,2,True,Top 1 in Group D
Turkey,Group D,2,5,4,3,1,True,Top 2 in Group D
Germany,Group E,1,9,6,3,3,True,Top 1 in Group E
Ecuador,Group E,2,4,4,4,0,True,Top 2 in Group E
Ivory Coast,Group E,3,4,4,4,0,True,Best third-placed (#5)
Netherlands,Group F,1,7,5,3,2,True,Top 1 in Group F
Japan,Group F,2,4,4,4,0,True,Top 2 in Group F
Sweden,Group F,3,4,4,4,0,True,Best third-placed (#6)
Belgium,Group G,1,9,6,3,3,True,Top 1 in Group G
Iran,Group G,2,6,5,4,1,True,Top 2 in Group G
Spain,Group H,1,9,7,3,4,True,Top 1 in Group H
Uruguay,Group H,2,6,5,4,1,True,Top 2 in Group H
France,Group I,1,7,6,3,3,True,Top 1 in Group I
Norway,Group I,2,5,4,3,1,True,Top 2 in Group I
Senegal,Group I,3,4,4,4,0,True,Best third-placed (#2)
Argentina,Group J,1,7,5,3,2,True,Top 1 in Group J
Algeria,Group J,2,5,4,3,1,True,Top 2 in Group J
Austria,Group J,3,4,4,4,0,True,Best third-placed (#3)
Portugal,Group K,1,9,7,3,4,True,Top 1 in Group K
Colombia,Group K,2,4,5,5,0,True,Top 2 in Group K
DR Congo,Group K,3,4,5,5,0,True,Best third-placed (#1)
England,Group L,1,9,6,3,3,True,Top 1 in Group L
Croatia,Group L,2,4,4,4,0,True,Top 2 in Group L
Ghana,Group L,3,4,4,4,0,True,Best third-placed (#7)
South Africa,Group A,4,2,3,4,-1,False,Eliminated in group stage
Qatar,Group B,4,0,3,6,-3,False,Eliminated in group stage
Scotland,Group C,3,3,4,5,-1,False,Eliminated in group stage
Haiti,Group C,4,0,3,6,-3,False,Eliminated in group stage
Australia,Group D,3,2,3,4,-1,False,Eliminated in group stage
Paraguay,Group D,4,1,3,5,-2,False,Eliminated in group stage
Curaçao,Group E,4,0,3,6,-3,False,Eliminated in group stage
Tunisia,Group F,4,1,3,5,-2,False,Eliminated in group stage
Egypt,Group G,3,3,4,5,-1,False,Eliminated in group stage
New Zealand,Group G,4,0,3,6,-3,False,Eliminated in group stage
Saudi Arabia,Group H,3,1,3,5,-2,False,Eliminated in group stage
Cape Verde,Group H,4,1,3,6,-3,False,Eliminated in group stage
Iraq,Group I,4,0,3,7,-4,False,Eliminated in group stage
Jordan,Group J,4,0,3,6,-3,False,Eliminated in group stage
Uzbekistan,Group K,4,0,3,7,-4,False,Eliminated in group stage
Panama,Group L,4,0,3,6,-3,False,Eliminated in group stage
