Team,Points,GD,Position
Brazil,7.0,4.0,
Portugal,7.0,4.0,
Mexico,7.0,3.0,
Morocco,7.0,3.0,
Sweden,7.0,3.0,
Spain,7.0,3.0,
Uruguay,7.0,3.0,
Bosnia and Herzegovina,7.0,2.0,
Ivory Coast,7.0,2.0,
New Zealand,7.0,2.0,
Argentina,7.0,2.0,
England,7.0,2.0,
Turkey,6.0,6.0,
Austria,6.0,3.0,
United States,6.0,1.0,
Ecuador,6.0,1.0,
Ghana,6.0,1.0,
Egypt,5.0,2.0,
Japan,5.0,1.0,
Norway,5.0,1.0,
Colombia,5.0,1.0,
South Korea,4.0,0.0,
Qatar,4.0,0.0,
Switzerland,4.0,0.0,
Australia,4.0,0.0,
Belgium,4.0,0.0,
France,4.0,0.0,
South Africa,3.0,0.0,
Germany,3.0,0.0,
Senegal,3.0,0.0,
Saudi Arabia,3.0,-1.0,
Croatia,3.0,-1.0,
Scotland,3.0,-2.0,
Tunisia,3.0,-2.0,
Iraq,2.0,-1.0,
Jordan,2.0,-2.0,
Uzbekistan,2.0,-2.0,
Runner-up Group A,1.0,0.0,
Runner-up Group B,1.0,0.0,
Winner Group C,1.0,0.0,
Runner-up Group F,1.0,0.0,
Winner Group E,1.0,0.0,
3rd Group A/B/C/D/F,1.0,0.0,
Winner Group F,1.0,0.0,
Runner-up Group C,1.0,0.0,
Runner-up Group E,1.0,0.0,
Runner-up Group I,1.0,0.0,
Winner Group I,1.0,0.0,
3rd Group C/D/F/G/H,1.0,0.0,
Winner Group A,1.0,0.0,
3rd Group C/E/F/H/I,1.0,0.0,
Winner Group L,1.0,0.0,
3rd Group E/H/I/J/K,1.0,0.0,
Winner Group G,1.0,0.0,
3rd Group A/E/H/I/J,1.0,0.0,
Winner Group D,1.0,0.0,
3rd Group B/E/F/I/J,1.0,0.0,
Winner Group H,1.0,0.0,
Runner-up Group J,1.0,0.0,
Runner-up Group K,1.0,0.0,
Runner-up Group L,1.0,0.0,
Winner Group B,1.0,0.0,
3rd Group E/F/G/I/J,1.0,0.0,
Runner-up Group D,1.0,0.0,
Runner-up Group G,1.0,0.0,
Winner Group J,1.0,0.0,
Runner-up Group H,1.0,0.0,
Winner Group K,1.0,0.0,
3rd Group D/E/I/J/L,1.0,0.0,
Winner Match 73,1.0,0.0,
Winner Match 75,1.0,0.0,
Winner Match 74,1.0,0.0,
Winner Match 77,1.0,0.0,
Winner Match 76,1.0,0.0,
Winner Match 78,1.0,0.0,
Winner Match 79,1.0,0.0,
Winner Match 80,1.0,0.0,
Winner Match 83,1.0,0.0,
Winner Match 84,1.0,0.0,
Winner Match 81,1.0,0.0,
Winner Match 82,1.0,0.0,
Winner Match 86,1.0,0.0,
Winner Match 88,1.0,0.0,
Winner Match 85,1.0,0.0,
Winner Match 87,1.0,0.0,
Winner Match 89,1.0,0.0,
Winner Match 90,1.0,0.0,
Winner Match 93,1.0,0.0,
Winner Match 94,1.0,0.0,
Winner Match 91,1.0,0.0,
Winner Match 92,1.0,0.0,
Winner Match 95,1.0,0.0,
Winner Match 96,1.0,0.0,
Winner Match 97,1.0,0.0,
Winner Match 98,1.0,0.0,
Winner Match 99,1.0,0.0,
Winner Match 100,1.0,0.0,
Loser Match 101,1.0,0.0,
Loser Match 102,1.0,0.0,
Winner Match 101,1.0,0.0,
Winner Match 102,1.0,0.0,
Canada,1.0,-2.0,
Netherlands,1.0,-2.0,
Panama,1.0,-2.0,
Czech Republic,1.0,-3.0,
Curaçao,1.0,-3.0,
Algeria,1.0,-3.0,
DR Congo,1.0,-3.0,
Paraguay,1.0,-7.0,
Iran,0.0,-4.0,
Haiti,0.0,-5.0,
Cape Verde,0.0,-5.0,
Portugal,,,Round of 16
Mexico,,,Round of 16
Spain,,,Round of 16
Bosnia and Herzegovina,,,Round of 16
New Zealand,,,Round of 16
England,,,Round of 16
Austria,,,Round of 16
United States,,,Round of 16
Morocco,,,Quarterfinals
Uruguay,,,Quarterfinals
Argentina,,,Quarterfinals
Ecuador,,,Quarterfinals
Sweden,,,Semifinals
Turkey,,,Semifinals
Ivory Coast,,,Final
Brazil,,,Champion
