Team,Position
Bosnia and Herzegovina,Round of 32
Canada,Round of 32
Morocco,Round of 32
Japan,Round of 32
Sweden,Round of 32
Ecuador,Round of 32
South Korea,Round of 32
DR Congo,Round of 32
Austria,Round of 32
Mexico,Round of 32
Colombia,Round of 32
Algeria,Round of 32
Switzerland,Round of 32
Uruguay,Round of 32
Ghana,Round of 32
Iran,Round of 32
Germany,Round of 16
Czech Republic,Round of 16
Norway,Round of 16
Senegal,Round of 16
Croatia,Round of 16
United States,Round of 16
Turkey,Round of 16
Ivory Coast,Round of 16
Netherlands,Quarterfinals
Belgium,Quarterfinals
Brazil,Quarterfinals
Argentina,Quarterfinals
Spain,Semifinals
Portugal,Semifinals
Spain,Third place
Portugal,Fourth place
France,Runner-up
England,Champion
